"countriesAndTerritories","cases","deaths","Code","acumulat","popData2019","continentExp"
"Gambia",3782,123,"GMB",2246.28742402,2347696,"Africa"
"Georgia",191063,1839,"GEO",58611.02062119,3996762,"Europe"
"Germany",1337078,21975,"DEU",20220.13506662,83019213,"Europe"
"Ghana",53014,327,"GHA",2405.85645447,30417858,"Africa"
"Gibraltar",1075,5,"GIB",42366.34427104,33706,"Europe"
"Greece",124534,3625,"GRC",15142.01137027,10724599,"Europe"
"Greenland",19,0,"GRL",321.21426057,56660,"America"
"Grenada",69,0,"GRD",469.63447096,112002,"America"
"Guam",7106,118,"GUM",58311.36614955,167295,"Oceania"
"Guatemala",129282,4423,"GTM",10021.16090815,17581476,"America"
"Guernsey",289,13,"GGY",5711.36067507,64468,"Europe"
"Guinea",13420,79,"GIN",1453.66395728,12771246,"Africa"
"Guinea_Bissau",2444,44,"GNB",1772.27855258,1920917,"Africa"
"Guyana",5920,155,"GUY",10121.5547252,782775,"America"
"Haiti",9565,234,"HTI",1166.18200053,11263079,"America"
"Holy_See",26,0,"VAT",42576.68711657,815,"Europe"
"Honduras",114359,2975,"HND",15991.52072388,9746115,"America"
"Hungary",283870,7130,"HUN",36392.9888354,9772756,"Europe"
"Iceland",5557,28,"ISL",21512.02691386,356991,"Europe"
"India",9884100,143355,"IND",9921.56640273,1366417756,"Asia"
"Indonesia",617820,18819,"IDN",2990.97571965,270625567,"Asia"
"Iran",1108269,52196,"IRN",17594.84746413,82913893,"Asia"
"Iraq",574634,12579,"IRQ",20112.77140155,39309789,"Asia"
"Ireland",76185,2124,"IRL",21206.58858457,4904240,"Europe"
"Isle_of_Man",370,25,"IMN",5702.86916735,84589,"Europe"
"Israel",357859,2999,"ISR",57000.92013816,8519373,"Asia"
